iter	Passed	Remaining
545	8741	7268
546	8756	7251
547	8767	7231
548	8781	7213
549	8795	7196
550	8807	7177
551	8818	7157
552	8833	7139
553	8846	7121
554	8860	7104
555	8874	7086
556	8884	7066
557	8897	7047
558	8910	7029
559	8923	7011
560	8938	6994
561	8949	6974
562	8962	6956
563	8976	6939
564	8991	6922
565	9003	6903
566	9015	6884
567	9028	6866
568	9041	6848
569	9054	6830
570	9065	6810
571	9079	6794
572	9093	6776
573	9106	6758
574	9118	6740
575	9130	6721
576	9145	6704
577	9159	6687
578	9173	6670
579	9188	6653
580	9206	6639
581	9219	6621
582	9230	6602
583	9260	6596
584	9273	6578
585	9286	6560
586	9296	6541
587	9310	6523
588	9326	6507
589	9340	6490
590	9353	6473
591	9366	6455
592	9377	6436
593	9390	6418
594	9404	6401
595	9415	6382
596	9426	6363
597	9439	6345
598	9452	6327
599	9465	6310
600	9477	6291
601	9488	6273
602	9501	6255
603	9514	6237
604	9527	6220
605	9538	6201
606	9552	6184
607	9565	6167
608	9578	6149
609	9589	6131
610	9602	6113
611	9615	6096
612	9628	6078
613	9640	6060
614	9655	6044
615	9670	6028
616	9686	6012
617	9702	5997
618	9718	5982
619	9738	5968
620	9753	5952
621	9768	5936
622	9784	5920
623	9800	5905
624	9814	5888
625	9828	5871
626	9842	5854
627	9856	5838
628	9868	5820
629	9884	5805
630	9899	5789
631	9913	5772
632	9927	5755
633	9941	5738
634	9955	5722
635	9974	5708
636	9990	5693
637	10005	5677
638	10021	5661
639	10033	5643
640	10046	5626
641	10060	5610
642	10073	5592
643	10086	5575
644	10097	5557
645	10110	5540
646	10123	5523
647	10138	5507
648	10151	5490
649	10162	5471
650	10176	5455
651	10190	5439
652	10204	5422
653	10216	5405
654	10227	5387
655	10240	5370
656	10253	5353
657	10267	5336
658	10277	5318
659	10290	5301
660	10304	5284
661	10318	5268
662	10331	5251
663	10343	5234
664	10356	5217
665	10370	5200
666	10385	5185
667	10403	5170
668	10417	5154
669	10432	5138
670	10448	5123
671	10463	5107
672	10479	5091
673	10493	5075
674	10512	5061
675	10537	5050
676	10554	5035
677	10577	5023
678	10593	5008
679	10619	4997
680	10635	4981
681	10652	4967
682	10679	4956
683	10697	4941
684	10715	4927
685	10732	4912
686	10749	4897
687	10765	4881
688	10783	4867
689	10804	4854
690	10818	4837
691	10839	4824
692	10854	4808
693	10871	4793
694	10882	4775
695	10895	4758
696	10908	4742
697	10921	4725
698	10934	4708
699	10946	4691
700	10959	4674
701	10972	4657
702	10982	4639
703	10995	4623
704	11008	4606
705	11022	4589
706	11036	4573
707	11049	4557
708	11062	4540
709	11075	4523
710	11088	4507
711	11101	4490
712	11111	4472
713	11125	4456
